Ngay,Tinh,Huyen,Xa,Kinh Do,Vi Do
30/06/2019,Quảng Trị,Đa Krông,Hướng Hiệp,106.82188,16.81555
30/06/2019,Quảng Trị,Đa Krông,Hướng Hiệp,106.8228,16.81072
30/06/2019,Quảng Trị,Gio Linh,Linh Thượng,106.82233,16.81789
28/06/2019,Quảng Trị,Hải Lăng,Hải Sơn,107.20934,16.613417
28/06/2019,Quảng Trị,Hải Lăng,Hải Trường,107.1995,16.62264
27/06/2019,Quảng Trị,Đa Krông,Húc Nghì,107.01704,16.50829
22/06/2019,Quảng Trị,Hải Lăng,Hải Trường,107.21977,16.60921
20/06/2019,Quảng Trị,Hải Lăng,Hải Sơn,107.21073,16.58101
20/06/2019,Quảng Trị,Hải Lăng,Hải Sơn,107.21394,16.58492
19/06/2019,Quảng Trị,Gio Linh,Gio Quang,107.11114,16.87842
18/06/2019,Quảng Trị,Hải Lăng,Hải Sơn,107.19064,16.613417
17/06/2019,Quảng Trị,Cam Lộ,Cam Tuyền,106.87732,16.793081
17/06/2019,Quảng Trị,Cam Lộ,Cam Tuyền,106.882,16.802064
17/06/2019,Quảng Trị,Hướng Hóa,Hướng Sơn,106.75106,16.837996
12/06/2019,Quảng Trị,Vĩnh Linh,Vĩnh Hà,106.86797,16.96376
12/06/2019,Quảng Trị,Vĩnh Linh,Vĩnh Sơn,106.94279,16.96376
12/06/2019,Quảng Trị,Đa Krông,Ba Nang,106.89135,16.550535
12/06/2019,Quảng Trị,Đa Krông,Húc Nghì,107.04099,16.460704
12/06/2019,Quảng Trị,Gio Linh,Gio An,106.9802,16.909861
12/06/2019,Quảng Trị,Hải Lăng,Hải Sơn,107.23722,16.60501
11/06/2019,Quảng Trị,Đa Krông,Húc Nghì,107.05035,16.442738
11/06/2019,Quảng Trị,Đa Krông,Hướng Hiệp,106.80814,16.79431
11/06/2019,Quảng Trị,Đa Krông,Hướng Hiệp,106.80788,16.79893
11/06/2019,Quảng Trị,Hải Lăng,Hải Sơn,107.22741,16.60953
11/06/2019,Quảng Trị,Hải Lăng,Hải Sơn,107.22679,16.60997
09/06/2019,Quảng Trị,Gio Linh,Gio Quang,107.11285,16.87548
08/06/2019,Quảng Trị,Cam Lộ,Cam Tuyền,106.87773,16.81292
08/06/2019,Quảng Trị,Cam Lộ,Cam Tuyền,106.87838,16.80829
08/06/2019,Quảng Trị,Cam Lộ,Cam Tuyền,106.882,16.811047
05/06/2019,Quảng Trị,Đa Krông,Ba Nang,106.85235,16.55509
05/06/2019,Quảng Trị,Đa Krông,Ba Nang,106.8568,16.55587
05/06/2019,Quảng Trị,Đa Krông,Ba Nang,106.85607,16.55957
05/06/2019,Quảng Trị,Đa Krông,Ba Nang,106.86329,16.559519
05/06/2019,Quảng Trị,Đa Krông,Đa Krông,106.81554,16.62162
05/06/2019,Quảng Trị,Đa Krông,Húc Nghì,106.98567,16.4623
05/06/2019,Quảng Trị,Đa Krông,Húc Nghì,107.02497,16.50714
05/06/2019,Quảng Trị,Đa Krông,Húc Nghì,106.98507,16.46601
05/06/2019,Quảng Trị,Đa Krông,Húc Nghì,107.03164,16.496636
05/06/2019,Quảng Trị,Đa Krông,Húc Nghì,107.02221,16.46253
05/06/2019,Quảng Trị,Đa Krông,Húc Nghì,107.02461,16.46147
05/06/2019,Quảng Trị,Đa Krông,Húc Nghì,107.0232,16.4589
05/06/2019,Quảng Trị,Đa Krông,Hướng Hiệp,106.8106,16.79174
05/06/2019,Quảng Trị,Đa Krông,Tà Long,106.92766,16.57963
05/06/2019,Quảng Trị,Đa Krông,Tà Long,106.93208,16.58039
05/06/2019,Quảng Trị,Đa Krông,Tà Rụt,107.02495,16.45158
05/06/2019,Quảng Trị,Đa Krông,Tà Rụt,107.02837,16.45597
05/06/2019,Quảng Trị,Đa Krông,Tà Rụt,107.03164,16.447229
05/06/2019,Quảng Trị,Đa Krông,Tà Rụt,106.99423,16.451721
05/06/2019,Quảng Trị,Hải Lăng,Hải Lâm,107.15406,16.6111
05/06/2019,Quảng Trị,Hải Lăng,Hải Lâm,107.1497,16.61035
05/06/2019,Quảng Trị,Hải Lăng,Hải Thọ,107.25525,16.68094
05/06/2019,Quảng Trị,Hướng Hóa,Hướng Linh,106.7869,16.71391
05/06/2019,Quảng Trị,Hướng Hóa,Hướng Linh,106.74762,16.69565
05/06/2019,Quảng Trị,Gio Linh,Linh Thượng,106.80257,16.87614
05/06/2019,Quảng Trị,Gio Linh,Linh Thượng,106.80718,16.873929
05/06/2019,Quảng Trị,Cam Lộ,Cam Nghĩa,106.94278,16.73287
04/06/2019,Quảng Trị,Đa Krông,Ba Nang,106.88789,16.57524
04/06/2019,Quảng Trị,Đa Krông,Ba Nang,106.89157,16.57578
04/06/2019,Quảng Trị,Đa Krông,Ba Nang,106.86024,16.56093
04/06/2019,Quảng Trị,Đa Krông,Húc Nghì,107.0215,16.50709
04/06/2019,Quảng Trị,Hải Lăng,Hải Chánh,107.27217,16.56799
02/06/2019,Quảng Trị,Đa Krông,Hướng Hiệp,106.83047,16.7823
01/06/2019,Quảng Trị,Hải Lăng,Hải Sơn,107.25143,16.617909
31/05/2019,Quảng Trị,Gio Linh,Linh Thượng,106.89546,16.8643
31/05/2019,Quảng Trị,Gio Linh,Linh Thượng,106.89581,16.86493
31/05/2019,Quảng Trị,Gio Linh,Linh Thượng,106.9007,16.864946
31/05/2019,Quảng Trị,Vĩnh Linh,Vĩnh Tú,107.02229,17.125457
31/05/2019,Quảng Trị,Đa Krông,Tà Long,106.95682,16.523586
